article,category,summary
Polymer Informatics: Current Status and Critical Next Steps,Soft Condensed Matter,artificial intelligence ai based approaches are beginning impact several domains human life science technology polymer informatics one such domain where ai machine learning ml tools are being used efficient development design discovery polymers surrogate models are trained available polymer data instant property prediction allowing screening promising polymer candidates specific target property requirements questions regarding synthesizability potential retrosynthesis steps create target polymer are being explored using statistical means datadriven strategies tackle unique challenges resulting extraordinary chemical physical diversity polymers small large scales are being explored other major hurdles polymer informatics are lack widespread availability curated organized data approaches create machinereadable representations capture not just structure complex polymeric situations but also synthesis processing conditions methods solve inverse problems wherein polymer recommendations are made using advanced ai algorithms meet application targets are being investigated various parts burgeoning polymer informatics ecosystem mature become integrated efficiency improvements accelerated discoveries increased productivity can result here we review emergent components polymer informatics ecosystem discuss imminent challenges opportunities
"Sparse Regression for Discovery of Constitutive Models from Oscillatory
  Shear Measurements",Soft Condensed Matter,we propose sparse regression alternative neural networks discovery parsimonious constitutive models cms oscillatory shear experiments symmetry frameinvariance are strictly imposed using tensor basis functions isolate describe unknown nonlinear terms cms we generate synthetic experimental data using giesekus phanthien tanner cms consider two different scenarios complete information scenario we assume shear stress along first second normal stress differences measured leads sparse linear regression problem can be solved efficiently using regularization partial information scenario we assume only shear stress data available leads more challenging sparse nonlinear regression problem which we propose greedy twostage algorithm both scenarios proposed methods fit interpolate training data remarkably well predictions inferred cms extrapolate satisfactorily beyond range training data oscillatory shear they also extrapolate reasonably well flow conditions like startup steady uniaxial extension are not used identification cms we discuss ramifications experimental design potential algorithmic improvements implications nonuniqueness cms inferred partial information
"Sparse Regression for Discovery of Constitutive Models from Oscillatory
  Shear Measurements",Soft Condensed Matter,we propose sparse regression alternative neural networks discovery parsimonious constitutive models cms oscillatory shear experiments symmetry frameinvariance are strictly imposed using tensor basis functions isolate describe unknown nonlinear terms cms we generate synthetic experimental data using giesekus phanthien tanner cms consider two different scenarios complete information scenario we assume shear stress along first second normal stress differences measured leads sparse linear regression problem can be solved efficiently using regularization partial information scenario we assume only shear stress data available leads more challenging sparse nonlinear regression problem which we propose greedy twostage algorithm both scenarios proposed methods fit interpolate training data remarkably well predictions inferred cms extrapolate satisfactorily beyond range training data oscillatory shear they also extrapolate reasonably well flow conditions like startup steady uniaxial extension are not used identification cms we discuss ramifications experimental design potential algorithmic improvements implications nonuniqueness cms inferred partial information
"Deep learning for size-agnostic inverse design of random-network 3D
  printed mechanical metamaterials",Applied Physics,practical applications mechanical metamaterials often involve solving inverse problems where objective find multiple microarchitectures give rise given set properties limited resolution additive manufacturing techniques often requires solving such inverse problems specific sizes one should therefore find multiple microarchitectural designs exhibit desired properties specimen given dimensions moreover candidate microarchitectures should be resistant fatigue fracture meaning peak stresses should be minimized well such multiobjective inverse design problem formidably difficult solve but its solution key realworld applications mechanical metamaterials here we propose modular approach titled deepdram combines four decoupled models including two deep learning models dlm deep generative model dgm based conditional variational autoencoders cvae direct finite element fe simulations deepdram deep learning design randomnetwork metamaterials integrates these models into unified framework capable finding many solutions multiobjective inverse design problem posed here integrated framework first introduces desired elastic properties dgm which returns set candidate designs candidate designs together target specimen dimensions are then passed dlm which predicts their actual elastic properties considering specimen size after filtering step based closeness actual properties desired ones last step uses direct fe simulations identify designs minimum peak stresses
"Development of Use-specific High Performance Cyber-Nanomaterial Optical
  Detectors by Effective Choice of Machine Learning Algorithms",Applied Physics,due their inherent variabilitiesnanomaterialbased sensors are challenging translate into realworld applicationswhere reliabilityreproducibility keyrecently we showed bayesian inference can be employed engineered variability layered nanomaterialbased optical transmission filters determine optical wavelengths high accuracyprecisionin many practical applications sensing costspeed longterm reliability can be equal more important considerationsthough various machine learning tools are frequently used sensordetector networks address thesenonetheless their effectiveness nanomaterialbased sensors has not been exploredhere we show best choice ml algorithm cybernanomaterial detector mainly determined specific use considerationsegaccuracy computational costspeed resilience against driftsageing effectswhen sufficient datacomputing resources are providedhighest sensing accuracy can be achieved knn bayesian inference algorithmsbut but can be computationally expensive realtime applicationsin contrastartificial neural networks are computationally expensive trainbut provide fastest result under testing conditions remain reasonably accuratewhen data limitedsvms perform well even small training setswhile other algorithms show considerable reduction accuracy if data scarcehencesetting lower limit size required training datawe show trackingmodeling longterm drifts detector performance over large year periodit possible improve predictive accuracy no need recalibrationour research shows first time if ml algorithm chosen specific usecaselowcost solutionprocessed cybernanomaterial detectors can be practically implemented under diverse operational requirementsdespite their inherent variabilities
Fabry-Perot Lasers as Enablers for Parallel Reservoir Computing,Applied Physics,we introduce use fabryperot fp lasers potential neuromorphic computing machines parallel processing capabilities use optical injection between master fp laser slave fp laser under feedback we demonstrate potential scaling up processing power longitudinal mode granularity perform realtime processing signal equalization gbaud intensity modulation direct detection optical communication systems we demonstrate improvement classification performance number nodes increases capability simultaneous processing arbitrary data streams extensive numerical simulations show up longitudinal modes typical fabryperot lasers can be leveraged so enhance classification performance
"Comparing domain wall synapse with other Non Volatile Memory devices for
  on-chip learning in Analog Hardware Neural Network",Applied Physics,resistive random access memory rram phase change memory pcm devices have been popularly used synapses crossbar array based analog neural network nn circuit achieve more energy time efficient data classification compared conventional computers here we demonstrate advantages recently proposed spin orbit torque driven domain wall dw device synapse compared rram pcm devices respect onchip learning training hardware such nn synaptic characteristic dw synapse obtained us micromagnetic modeling turns out be much more linear symmetric between positive negative update than rram pcm synapse makes design peripheral analog circuits onchip learning much easier dw synapse based nn compared rram pcm synapses we next incorporate dw synapse veriloga model crossbar array based nn circuit we design spice circuit simulator successful onchip learning demonstrated through spice simulations popular fishers iris dataset time energy required learning turn out be orders magnitude lower dw synapse based nn circuit compared rram pcm synapse based nn circuits
"Tomographic Reconstruction of Triaxial Strain Fields from Bragg-Edge
  Neutron Imaging",Applied Physics,paper presents proofofconcept demonstration triaxial strain tomography braggedge neutron imaging within threedimensional sample braggedge neutron transmission can provide highresolution images average through thickness strain within polycrystalline material poses associated rich tomography problem which seeks reconstruct full triaxial strain field these images presented demonstration important step towards solving problem towards technique capable studying residual strain stress within engineering components gaussian process based approach used ensures reconstruction satisfies equilibrium known boundary conditions approach demonstrated experimentally nontrivial steel sample use raden instrument japan proton accelerator research complex validation reconstruction provided comparison conventional strain scans kowari constantwavelength strain diffractometer australian nuclear science technology organisation simulations via finite element analysis
Interval-valued fuzzy soft $β$-covering approximation spaces,General Mathematics,concept intervalvalued fuzzy soft betacovering approximation spaces ifsbetacass introduced combine theories soft sets rough sets intervalvalued fuzzy sets some fundamental propositions concerning intervalvalued fuzzy soft betaneighborhoods soft betaneighborhoods ifsbetacass are explored then four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are researched finally relationships four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are investigated
Interval-valued fuzzy soft $β$-covering approximation spaces,General Mathematics,concept intervalvalued fuzzy soft betacovering approximation spaces ifsbetacass introduced combine theories soft sets rough sets intervalvalued fuzzy sets some fundamental propositions concerning intervalvalued fuzzy soft betaneighborhoods soft betaneighborhoods ifsbetacass are explored then four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are researched finally relationships four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are investigated
Interval-valued fuzzy soft $β$-covering approximation spaces,General Mathematics,concept intervalvalued fuzzy soft betacovering approximation spaces ifsbetacass introduced combine theories soft sets rough sets intervalvalued fuzzy sets some fundamental propositions concerning intervalvalued fuzzy soft betaneighborhoods soft betaneighborhoods ifsbetacass are explored then four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are researched finally relationships four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are investigated
Interval-valued fuzzy soft $β$-covering approximation spaces,General Mathematics,concept intervalvalued fuzzy soft betacovering approximation spaces ifsbetacass introduced combine theories soft sets rough sets intervalvalued fuzzy sets some fundamental propositions concerning intervalvalued fuzzy soft betaneighborhoods soft betaneighborhoods ifsbetacass are explored then four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are researched finally relationships four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are investigated
Interval-valued fuzzy soft $β$-covering approximation spaces,General Mathematics,concept intervalvalued fuzzy soft betacovering approximation spaces ifsbetacass introduced combine theories soft sets rough sets intervalvalued fuzzy sets some fundamental propositions concerning intervalvalued fuzzy soft betaneighborhoods soft betaneighborhoods ifsbetacass are explored then four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are researched finally relationships four kinds intervalvalued fuzzy soft betacoverings based fuzzy rough sets are investigated
Monte Carlo wavelets: a randomized approach to frame discretization,Functional Analysis,paper we propose study family continuous wavelets general domains corresponding stochastic discretization we call monte carlo wavelets first using tools theory reproducing kernel hilbert spaces associated integral operators we define family continuous wavelets spectral calculus then we propose stochastic discretization based monte carlo estimates integral operators using concentration measure results we establish convergence such discretization derive convergence rates under natural regularity assumptions
"Composition operators on reproducing kernel Hilbert spaces with analytic
  positive definite functions",Functional Analysis,paper we specify what functions induce bounded composition operators reproducing kernel hilbert space rkhs associated analytic positive definite function defined mathbfrd we prove only affine transforms can do so pretty large class rkhs our result covers not only paleywiener space real line studied previous works but also much more general rkhss corresponding analytic positive definite functions where existing methods do not work our method only relies intrinsic properties rkhss we establish connection between behavior composition operators asymptotic properties greatest zeros orthogonal polynomials weighted lspaces real line we also investigate compactness composition operators show any bounded composition operators cannot be compact our situation
"Singular Value Decomposition of Operators on Reproducing Kernel Hilbert
  Spaces",Functional Analysis,reproducing kernel hilbert spaces rkhss play important role many statistics machine learning applications ranging support vector machines gaussian processes kernel embeddings distributions operators acting such spaces are instance required embed conditional probability distributions order implement kernel bayes rule build sequential data models it was recently shown transfer operators such perronfrobenius koopman operator can also be approximated similar fashion using covariance crosscovariance operators eigenfunctions these operators can be obtained solving associated matrix eigenvalue problems goal paper provide solid functional analytic foundation eigenvalue decomposition rkhs operators extend approach singular value decomposition results are illustrated simple guiding examples
"Construction and Monte Carlo estimation of wavelet frames generated by a
  reproducing kernel",Functional Analysis,we introduce construction multiscale tight frames general domains frame elements are obtained spectral filtering integral operator associated reproducing kernel our construction extends classical wavelets well generalized wavelets both continuous discrete noneuclidean structures such riemannian manifolds weighted graphs moreover it allows study relation between continuous discrete frames random sampling regime where discrete frames can be seen monte carlo estimates continuous ones pairing spectral regularization learning theory we show sample frame tends its population counterpart derive explicit finitesample rates spaces sobolev besov regularity our results prove stability frames constructed empirical data sense all stochastic discretizations have same underlying limit regardless set initial training samples
Monte Carlo wavelets: a randomized approach to frame discretization,Functional Analysis,paper we propose study family continuous wavelets general domains corresponding stochastic discretization we call monte carlo wavelets first using tools theory reproducing kernel hilbert spaces associated integral operators we define family continuous wavelets spectral calculus then we propose stochastic discretization based monte carlo estimates integral operators using concentration measure results we establish convergence such discretization derive convergence rates under natural regularity assumptions
Solving and Learning Nonlinear PDEs with Gaussian Processes,Numerical Analysis,we introduce simple rigorous unified framework solving nonlinear partial differential equations pdes solving inverse problems ips involving identification parameters pdes using framework gaussian processes proposed approach provides natural generalization collocation kernel methods nonlinear pdes ips has guaranteed convergence very general class pdes comes equipped path compute error bounds specific pde approximations inherits stateoftheart computational complexity linear solvers dense kernel matrices main idea our method approximate solution given pde maximum posteriori map estimator gaussian process conditioned solving pde finite number collocation points although optimization problem infinitedimensional it can be reduced finitedimensional one introducing additional variables corresponding values derivatives solution collocation points generalizes representer theorem arising gaussian process regression reduced optimization problem has form quadratic objective function subject nonlinear constraints it solved variant gaussnewton method resulting algorithm can be interpreted solving successive linearizations nonlinear pde practice found converge small number iterations wide range pdes most traditional approaches ips interleave parameter updates numerical solution pde our algorithm solves both parameter pde solution simultaneously experiments nonlinear elliptic pdes burgers equation regularized eikonal equation ip permeability identification darcy flow illustrate efficacy scope our framework
"A least-squares method for sparse low rank approximation of multivariate
  functions",Numerical Analysis,paper we propose lowrank approximation method based discrete leastsquares approximation multivariate function random noisyfree observations sparsity inducing regularization techniques are used within classical algorithms lowrank approximation order exploit possible sparsity lowrank approximations sparse lowrank approximations are constructed robust updated greedy algorithm which includes optimal selection regularization parameters approximation ranks using cross validation techniques numerical examples demonstrate capability approximating functions many variables even when very few function evaluations are available thus proving interest proposed algorithm propagation uncertainties through complex computational models
"Solving Allen-Cahn and Cahn-Hilliard Equations using the Adaptive
  Physics Informed Neural Networks",Numerical Analysis,phase field models particular allencahn type cahnhilliard type equations have been widely used investigate interfacial dynamic problems designing accurate efficient stable numerical algorithms solving phase field models has been active field decades paper we focus using deep neural network design automatic numerical solver allencahn cahnhilliard equations proposing improved physics informed neural network pinn though pinn has been embraced investigate many differential equation problems we find direct application pinn solving phasefield equations wont provide accurate solutions many cases thus we propose various techniques add approximation power pinn major contribution paper we propose embrace adaptive idea both space time introduce various sampling strategies such we are able improve efficiency accuracy pinn solving phase field equations addition improved pinn has no restriction explicit form pdes making it applicable wider class pde problems shedding light numerical approximations other pdes general
"Learning Runge-Kutta Integration Schemes for ODE Simulation and
  Identification",Numerical Analysis,deriving analytical solutions ordinary differential equations usually restricted small subset problems numerical techniques are considered inevitably numerical simulation differential equation will then always be distinct true analytical solution efficient integration scheme shall further not only provide trajectory throughout given state but also be derived ensure generated simulation be close analytical one consequently several integration schemes were developed different classes differential equations unfortunately when considering integration complex nonlinear systems well identification nonlinear equations data choice integration scheme often far being trivial paper we propose novel framework learn integration schemes minimize integrationrelated cost function we demonstrate relevance proposed learningbased approach nonlinear equations include quantitative analysis wrt classical stateoftheart integration techniques especially where latter may not apply
"Gamblets for opening the complexity-bottleneck of implicit schemes for
  hyperbolic and parabolic ODEs/PDEs with rough coefficients",Numerical Analysis,implicit schemes are popular methods integration time dependent pdes such hyperbolic parabolic pdes however necessity solve corresponding linear systems each time step constitutes complexity bottleneck their application pdes rough coefficients we present generalization gamblets introduced citeowhadimultigrid enabling resolution these implicit systems nearlinear complexity provide rigorous apriori error bounds resulting numerical approximations hyperbolic parabolic pdes these generalized gamblets induce multiresolution decomposition solution space adapted both underlying hyperbolic parabolic pde system odes resulting space discretization timesteps numerical scheme
The bistable brain: a neuronal model with symbiotic interactions,Chaotic Dynamics,general behavior large complex aggregates elementary components can not be understood nor extrapolated properties few components brain good example type networked systems where some patterns behavior are observed independently topology number coupled units following insight we have studied dynamics different aggregates logistic maps according particular it symbiotic coupling scheme imitates neuronal excitation coupling all these aggregates show some common dynamical properties concretely bistable behavior reported here certain detail thus qualitative relationship neural systems suggested through naive model many such networked logistic maps whose behavior mimics wakingsleeping bistability displayed brain systems due its relevance some regions multistability are determined sketched all these logistic models
Scale-invariance of ruggedness measures in fractal fitness landscapes,Chaotic Dynamics,paper deals using chaos direct trajectories targets analyzes ruggedness fractality resulting fitness landscapes targeting problem formulated dynamic fitness landscape four different chaotic maps generating such landscape are studied using computational approach we analyze properties landscapes quantify their fractal rugged characteristics particular it shown ruggedness measures such correlation length information content are scaleinvariant selfsimilar
"Evolving Chaos: Identifying New Attractors of the Generalised Lorenz
  Family",Chaotic Dynamics,recent paper we presented intelligent evolutionary search technique through genetic programming gp finding new analytical expressions nonlinear dynamical systems similar classical lorenz attractors which also exhibit chaotic behaviour phase space paper we extend our previous finding explore yet another gallery new chaotic attractors which are derived original lorenz system equations compared previous exploration sinusoidal type transcendental nonlinearity here we focus only crossproduct higherpower type nonlinearities three state equations we here report over different structures chaotic attractors along their one set parameter values phase space dynamics largest lyapunov exponents lle expressions these new lorenzlike nonlinear dynamical systems have been automatically evolved through multigene genetic programming mggp past two decades there have been many claims designing new chaotic attractors incremental extension lorenz family we provide here large family chaotic systems whose structure closely resemble original lorenz system but drastically different phase space dynamics advances state art knowledge discovering new chaotic systems which can find application many realworld problems work may also find its archival value future domain new chaotic system discovery
Scale-invariance of ruggedness measures in fractal fitness landscapes,Chaotic Dynamics,paper deals using chaos direct trajectories targets analyzes ruggedness fractality resulting fitness landscapes targeting problem formulated dynamic fitness landscape four different chaotic maps generating such landscape are studied using computational approach we analyze properties landscapes quantify their fractal rugged characteristics particular it shown ruggedness measures such correlation length information content are scaleinvariant selfsimilar
Scale-invariance of ruggedness measures in fractal fitness landscapes,Chaotic Dynamics,paper deals using chaos direct trajectories targets analyzes ruggedness fractality resulting fitness landscapes targeting problem formulated dynamic fitness landscape four different chaotic maps generating such landscape are studied using computational approach we analyze properties landscapes quantify their fractal rugged characteristics particular it shown ruggedness measures such correlation length information content are scaleinvariant selfsimilar
Incorporating Polar Field Data for Improved Solar Flare Prediction,Solar and Stellar Astrophysics,paper we consider incorporating data associated suns north south polar field strengths improve solar flare prediction performance using machine learning models when used supplement local data active regions photospheric magnetic field sun polar field data provides global information predictor while such global features have been previously proposed predicting next solar cycles intensity paper we propose using them help classify individual solar flares we conduct experiments using hmi data employing four different machine learning algorithms can exploit polar field information additionally we propose novel probabilistic mixture experts model can simply effectively incorporate polar field data provide onpar prediction performance stateoftheart solar flare prediction algorithms such recurrent neural network rnn our experimental results indicate usefulness polar field data solar flare prediction which can improve heidke skill score hss much
"Single-Frame Super-Resolution of Solar Magnetograms: Investigating
  Physics-Based Metrics \& Losses",Solar and Stellar Astrophysics,breakthroughs our understanding physical phenomena have traditionally followed improvements instrumentation studies magnetic field sun its influence solar dynamo space weather events have benefited improvements resolution measurement frequency new instruments however order fully understand solar cycle highquality data across timescales longer than typical lifespan solar instrument are required moment discrepancies between measurement surveys prevent combined use all available data work we show machine learning can help bridge gap between measurement surveys learning textbfsuperresolve lowresolution magnetic field images textbftranslate between characteristics contemporary instruments orbit we also introduce notion physicsbased metrics losses superresolution preserve underlying physics constrain solution space possible superresolution outputs
"Estimating activity cycles with probabilistic methods I. Bayesian
  Generalised Lomb-Scargle Periodogram with Trend",Solar and Stellar Astrophysics,period estimation one central topics astronomical time series analysis where data often unevenly sampled especially challenging are studies stellar magnetic cycles there periods looked are order same length than datasets themselves datasets often contain trends origin which either real longterm cycle instrumental effect but these effects cannot be reliably separated while they can lead erroneous period determinations if not properly handled study we aim developing method can handle trends properly performing extensive set testing we show optimal procedure when contrasted methods do not include trend directly model effect form noise whether constant heteroscedastic results also investigated we introduce bayesian generalised lombscargle periodogram trend bglst which probabilistic linear regression model using gaussian priors coefficients uniform prior frequency parameter we show using synthetic data when there no prior information whether what extent true model data contains linear trend introduced bglst method preferable methods which either detrend data leave data untrended before fitting periodic model whether use noise different than constant variance model depends density data sampling well true noise type process
"Interpreting LSTM Prediction on Solar Flare Eruption with Time-series
  Clustering",Solar and Stellar Astrophysics,we conduct post hoc analysis solar flare predictions made long short term memory lstm model employing data form spaceweather hmi active region patches sharp parameters calculated data proximity magnetic polarity inversion line where flares originate we train lstm model binary classification provide prediction score probability mx class flares occur next hour we then develop dimensionreduction technique reduce dimensions sharp parameter lstm inputs demonstrate different patterns sharp parameters corresponding transition low high prediction score our work shows subset sharp parameters contain key signals strong solar flare eruptions are imminent dynamics these parameters have highly uniform trajectory many events whose lstm prediction scores mx class flares transition very low very high results demonstrate existence few threshold values sharp parameters when surpassed indicate high probability eruption strong flare our method has distilled knowledge solar flare eruption learnt deep learning model provides more interpretable approximation which provides physical insight processes driving solar flares
Incorporating Polar Field Data for Improved Solar Flare Prediction,Solar and Stellar Astrophysics,paper we consider incorporating data associated suns north south polar field strengths improve solar flare prediction performance using machine learning models when used supplement local data active regions photospheric magnetic field sun polar field data provides global information predictor while such global features have been previously proposed predicting next solar cycles intensity paper we propose using them help classify individual solar flares we conduct experiments using hmi data employing four different machine learning algorithms can exploit polar field information additionally we propose novel probabilistic mixture experts model can simply effectively incorporate polar field data provide onpar prediction performance stateoftheart solar flare prediction algorithms such recurrent neural network rnn our experimental results indicate usefulness polar field data solar flare prediction which can improve heidke skill score hss much
"Quantized Non-Volatile Nanomagnetic Synapse based Autoencoder for
  Efficient Unsupervised Network Anomaly Detection",Mesoscale and Nanoscale Physics,autoencoder based anomaly detection paradigm implementing autoencoder edge devices capable learning realtime exceedingly challenging due limited hardware energy computational resources we show these limitations can be addressed designing autoencoder lowresolution nonvolatile memorybased synapses employing effective quantized neural network learning algorithm we propose ferromagnetic racetrack engineered notches hosting magnetic domain wall dw autoencoder synapses where limited state state synaptic weights are manipulated spin orbit torque sot current pulses performance anomaly detection proposed autoencoder model evaluated nslkdd dataset limited resolution dw device stochasticity aware training autoencoder performed which yields comparable anomaly detection performance autoencoder having floatingpoint precision weights while limited number quantized states inherent stochastic nature dw synaptic weights nanoscale devices are known negatively impact performance our hardwareaware training algorithm shown leverage these imperfect device characteristics generate improvement anomaly detection accuracy compared accuracy obtained floatingpoint trained weights furthermore our dwbased approach demonstrates remarkable reduction least three orders magnitude weight updates during training compared floatingpoint approach implying substantial energy savings our method work could stimulate development extremely energy efficient nonvolatile multistate synapsebased processors can perform realtime training inference edge unsupervised data
"Accelerate & Actualize: Can 2D Materials Bridge the Gap Between
  Neuromorphic Hardware and the Human Brain?",Mesoscale and Nanoscale Physics,twodimensional materials present exciting opportunity devices systems beyond von neumann computing architecture paradigm due their diversity electronic structure physical properties atomicallythin van der waals structures enable ease integration conventional electronic materials siliconbased hardware all major classes nonvolatile memory nvm devices have been demonstrated using materials including their operation synaptic devices applications neuromorphic computing hardware their atomicallythin structure superior physical properties ie mechanical strength electrical thermal conductivity well gatetunable electronic properties provide performance advantages novel functionality nvm devices systems however device performance variability compared incumbent materials technology remain major concerns real applications ultimately progress materials novel class electronic materials specifically their application area neuromorphic electronics will depend their scalable synthesis thinfilm form desired crystal quality defect density phase purity
"Controllable reset behavior in domain wall-magnetic tunnel junction
  artificial neurons for task-adaptable computation",Mesoscale and Nanoscale Physics,neuromorphic computing spintronic devices has been interest due limitations cmosdriven von neumann computing domain wallmagnetic tunnel junction dwmtj devices have been shown be able intrinsically capture biological neuron behavior edgyrelaxed behavior where frequently firing neuron experiences lower action potential threshold may provide additional artificial neuronal functionality when executing repeated tasks study we demonstrate behavior can be implemented dwmtj artificial neurons via three alternative mechanisms shape anisotropy magnetic field currentdriven soft reset using micromagnetics analytical device modeling classify optdigits handwritten digit dataset we show edgyrelaxed behavior improves both classification accuracy classification rate ordered datasets while sacrificing little no accuracy randomized dataset work establishes methods which artificial spintronic neurons can be flexibly adapted datasets
"Quantized Non-Volatile Nanomagnetic Synapse based Autoencoder for
  Efficient Unsupervised Network Anomaly Detection",Mesoscale and Nanoscale Physics,autoencoder based anomaly detection paradigm implementing autoencoder edge devices capable learning realtime exceedingly challenging due limited hardware energy computational resources we show these limitations can be addressed designing autoencoder lowresolution nonvolatile memorybased synapses employing effective quantized neural network learning algorithm we propose ferromagnetic racetrack engineered notches hosting magnetic domain wall dw autoencoder synapses where limited state state synaptic weights are manipulated spin orbit torque sot current pulses performance anomaly detection proposed autoencoder model evaluated nslkdd dataset limited resolution dw device stochasticity aware training autoencoder performed which yields comparable anomaly detection performance autoencoder having floatingpoint precision weights while limited number quantized states inherent stochastic nature dw synaptic weights nanoscale devices are known negatively impact performance our hardwareaware training algorithm shown leverage these imperfect device characteristics generate improvement anomaly detection accuracy compared accuracy obtained floatingpoint trained weights furthermore our dwbased approach demonstrates remarkable reduction least three orders magnitude weight updates during training compared floatingpoint approach implying substantial energy savings our method work could stimulate development extremely energy efficient nonvolatile multistate synapsebased processors can perform realtime training inference edge unsupervised data
"Shape-Dependent Multi-Weight Magnetic Artificial Synapses for
  Neuromorphic Computing",Mesoscale and Nanoscale Physics,neuromorphic computing artificial synapses provide multiweight conductance state set based inputs neurons analogous brain additional properties synapse beyond multiple weights can be needed can depend application requiring need generating different synapse behaviors same materials here we measure artificial synapses based magnetic materials use magnetic tunnel junction magnetic domain wall fabricating lithographic notches domain wall track underneath single magnetic tunnel junction we achieve stable resistance states can be repeatably controlled electrically using spin orbit torque we analyze effect geometry synapse behavior showing trapezoidal device has asymmetric weight updates high controllability while straight device has higher stochasticity but stable resistance levels device data input into neuromorphic computing simulators show usefulness applicationspecific synaptic functions implementing artificial neural network applied streamed fashionmnist data we show trapezoidal magnetic synapse can be used metaplastic function efficient online learning implementing convolutional neural network cifar image recognition we show straight magnetic synapse achieves nearideal inference accuracy due stability its resistance levels work shows multiweight magnetic synapses are feasible technology neuromorphic computing provides design guidelines emerging artificial synapse technologies
"Metadynamics for Training Neural Network Model Chemistries: a
  Competitive Assessment",Chemical Physics,neural network nn model chemistries mcs promise facilitate accurate exploration chemical space simulation large reactive systems one important path improving these models add layers physical detail especially longrange forces short range however these models are data driven data limited little systematically known about how data should be sampled test data chosen randomly some sampling techniques can provide poor information about generality if sampling method narrow test error can appear encouragingly tiny while model fails catastrophically elsewhere manuscript we competitively evaluate two common sampling methods molecular dynamics md normalmode sampling nms one uncommon alternative metadynamics metamd preparing training geometries we show md inefficient sampling method sense additional samples do not improve generality we also show metamd easily implemented any nnmc software package cost scales linearly number atoms sample molecule metamd blackbox way ensure samples always reach out new regions chemical space while remaining relevant chemistry near kbt it one cheap tool address issue generalization
"Generative Design of Functional Metal Complexes Utilizing the Internal
  Knowledge of Large Language Models",Chemical Physics,designing functional transition metal complexes tmcs faces challenges due vast search space metals ligands requiring efficient optimization strategies traditional genetic algorithms gas are commonly used employing random mutations crossovers driven explicit mathematical objectives explore space transferring knowledge between different ga tasks however difficult we integrate large language models llms into evolutionary optimization framework llmeo apply it both single multiobjective optimization tmcs we find llmeo surpasses traditional gas leveraging chemical knowledge llms gained during their extensive pretraining remarkably without supervised finetuning llms utilize full historical data optimization processes outperforming those focusing only topperforming tmcs llmeo successfully identifies eight top tmcs largest homolumo gaps proposing only candidates out million tmcs space through prompt engineering using natural language llmeo introduces unparalleled flexibility into multiobjective optimizations thereby circumventing necessity intricate mathematical formulations generative models llms can suggest new ligands tmcs unique properties merging both internal knowledge external chemistry data thus combining benefits efficient optimization molecular generation increasing potential llms pretrained foundational models new posttraining inference strategies we foresee broad applications llmbased evolutionary optimization chemistry materials design
"Neural networks and kernel ridge regression for excited states dynamics
  of CH$_2$NH$_2^+$: From single-state to multi-state representations and
  multi-property machine learning models",Chemical Physics,excitedstate dynamics simulations are powerful tool investigate photoinduced reactions molecules materials provide complementary information experiments since applicability these simulation techniques limited costs underlying electronic structure calculations we develop assess different machine learning models task machine learning models are trained emph ab initio calculations excited electronic states using methylenimmonium cation chnh model system prediction excitedstate properties multiple outputs are desirable which straightforward neural networks but less explored kernel ridge regression we overcome challenge kernel ridge regression case energy predictions encoding electronic states explicitly inputs addition molecular representation we adopt strategy also our neural networks comparison such state encoding enables not only kernel ridge regression multiple outputs but leads also more accurate machine learning models statespecific properties important goal excitedstate machine learning models their use dynamics simulations which needs not only statespecific information but also couplings ie properties involving pairs states accordingly we investigate performance different models such coupling elements furthermore we explore how combining all properties single neural network affects accuracy ultimate test our machine learning models we carry out excitedstate dynamics simulations based predicted energies forces couplings thus show scopes possibilities machine learning treatment electronically excited states
Molecular Dynamics with Neural-Network Potentials,Chemical Physics,molecular dynamics simulations are important tool describing evolution chemical system time however these simulations are inherently held back either prohibitive cost accurate electronic structure theory computations limited accuracy classical empirical force fields machine learning techniques can help overcome these limitations providing access potential energies forces other molecular properties modeled directly after electronic structure reference only fraction original computational cost present text discusses several practical aspects conducting machine learning driven molecular dynamics simulations first we study efficient selection reference data points basis active learning inspired adaptive sampling scheme followed analysis machinelearning based model simulating molecular dipole moments framework predicting infrared spectra via molecular dynamics simulations finally we show machine learning models can offer valuable aid understanding chemical systems beyond simple prediction quantities
